iter	Passed	Remaining
401	14235	21176
402	14269	21139
403	14303	21101
404	14340	21068
405	14377	21034
406	14410	20996
407	14444	20959
408	14479	20923
409	14512	20884
410	14548	20849
411	14582	20812
412	14615	20773
413	14649	20735
414	14684	20699
415	14719	20663
416	14753	20627
417	14789	20591
418	14828	20562
419	14862	20524
420	14896	20487
421	14932	20452
422	14964	20412
423	14999	20377
424	15035	20341
425	15074	20311
426	15109	20275
427	15143	20237
428	15177	20201
429	15212	20165
430	15249	20132
431	15283	20094
432	15318	20059
433	15352	20022
434	15384	19982
435	15419	19946
436	15453	19909
437	15495	19882
438	15529	19845
439	15563	19808
440	15598	19772
441	15632	19735
442	15667	19699
443	15700	19660
444	15735	19624
445	15768	19587
446	15801	19548
447	15835	19512
448	15874	19480
449	15908	19443
450	15944	19408
451	15977	19370
452	16011	19334
453	16042	19293
454	16077	19257
455	16110	19219
456	16145	19183
457	16178	19145
458	16211	19108
459	16247	19073
460	16281	19035
461	16313	18997
462	16349	18962
463	16386	18928
464	16418	18889
465	16450	18850
466	16483	18813
467	16517	18776
468	16554	18743
469	16589	18707
470	16625	18672
471	16661	18638
472	16694	18600
473	16730	18566
474	16764	18529
475	16801	18495
476	16838	18462
477	16872	18425
478	16907	18390
479	16944	18356
480	16975	18316
481	17010	18281
482	17046	18246
483	17082	18211
484	17115	18174
485	17149	18137
486	17186	18104
487	17223	18070
488	17256	18033
489	17292	17998
490	17329	17964
491	17364	17929
492	17400	17894
493	17436	17860
494	17472	17824
495	17508	17790
496	17540	17752
497	17577	17718
498	17610	17680
499	17643	17643
500	17676	17605
501	17711	17570
502	17745	17533
503	17780	17498
504	17813	17460
505	17851	17428
506	17885	17391
507	17918	17354
508	17950	17316
509	17989	17283
510	18025	17249
511	18061	17214
512	18096	17178
513	18129	17141
514	18161	17103
515	18198	17069
516	18239	17040
517	18274	17004
518	18308	16967
519	18340	16929
520	18376	16895
521	18412	16860
522	18448	16825
523	18481	16788
524	18517	16753
525	18550	16716
526	18584	16680
527	18619	16644
528	18653	16608
529	18688	16572
530	18720	16534
531	18753	16497
532	18789	16462
533	18825	16428
534	18860	16392
535	18893	16355
536	18927	16319
537	18960	16282
538	18994	16245
539	19028	16209
540	19063	16174
541	19099	16139
542	19132	16102
543	19165	16064
544	19199	16028
545	19233	15992
546	19275	15963
547	19310	15927
548	19343	15890
549	19377	15854
550	19412	15818
551	19444	15781
552	19479	15745
553	19514	15710
554	19548	15674
555	19583	15638
556	19617	15602
557	19650	15565
558	19687	15531
559	19722	15496
560	19753	15457
561	19787	15421
562	19823	15386
563	19860	15353
564	19894	15317
565	19929	15281
566	19964	15245
567	19999	15210
568	20032	15174
569	20072	15142
570	20108	15107
571	20141	15070
572	20176	15035
573	20210	14999
574	20245	14963
575	20277	14926
576	20312	14890
577	20346	14854
578	20381	14819
579	20415	14783
580	20447	14746
581	20480	14709
582	20523	14679
583	20558	14644
584	20593	14609
585	20625	14571
586	20660	14535
587	20692	14498
588	20728	14464
589	20763	14428
590	20797	14392
591	20832	14357
592	20870	14324
593	20905	14289
594	20941	14254
595	20976	14219
596	21011	14183
597	21045	14147
598	21080	14112
599	21117	14078
600	21148	14040
601	21181	14003
602	21221	13971
603	21256	13936
604	21290	13900
605	21325	13864
606	21362	13831
607	21398	13796
608	21429	13758
609	21462	13722
610	21495	13685
611	21530	13650
612	21566	13615
613	21598	13578
614	21634	13543
615	21670	13508
616	21704	13472
617	21740	13438
618	21776	13403
619	21810	13367
620	21845	13332
621	21880	13297
622	21914	13261
623	21947	13225
624	21980	13188
625	22014	13152
626	22047	13116
627	22080	13079
628	22115	13044
629	22157	13013
630	22191	12977
631	22225	12941
632	22259	12905
633	22296	12871
634	22331	12836
635	22363	12799
636	22398	12763
637	22435	12730
638	22471	12695
639	22504	12658
640	22541	12624
641	22575	12588
642	22609	12553
643	22643	12517
644	22677	12481
645	22712	12446
646	22746	12410
647	22780	12374
648	22814	12338
649	22848	12303
650	22886	12269
651	22916	12231
652	22955	12198
653	22989	12162
654	23023	12126
655	23059	12092
656	23093	12056
657	23127	12020
658	23161	11984
659	23194	11948
660	23230	11914
661	23263	11877
662	23296	11841
663	23331	11806
664	23363	11769
665	23399	11734
666	23436	11700
667	23471	11665
668	23505	11629
669	23539	11593
670	23572	11557
671	23607	11522
672	23642	11487
673	23677	11452
674	23710	11416
675	23743	11380
676	23778	11344
677	23813	11309
678	23852	11276
679	23886	11240
680	23920	11204
681	23955	11169
682	23989	11134
