iter	RMSE
216	6.07210254
217	6.071267552
218	6.07084143
219	6.07050396
220	6.069831796
221	6.069026351
222	6.068435078
223	6.067842971
224	6.067119211
225	6.066138301
226	6.065514133
227	6.065099776
228	6.064468651
229	6.063844746
230	6.063262772
231	6.062768958
232	6.062082755
233	6.061083933
234	6.060558883
235	6.060093054
236	6.059340728
237	6.058689831
238	6.058208361
239	6.05726885
240	6.056552792
241	6.056043605
242	6.055475332
243	6.055088946
244	6.054411203
245	6.053587455
246	6.052977502
247	6.052475885
248	6.051977516
249	6.051446539
250	6.050689558
251	6.050277927
252	6.049682737
253	6.049335988
254	6.048466739
255	6.047563521
256	6.046971427
257	6.046447773
258	6.045801582
259	6.045424787
260	6.044956244
261	6.044554178
262	6.043715761
263	6.043213339
264	6.042549942
265	6.042108627
266	6.041574058
267	6.04143518
268	6.041062697
269	6.040072395
270	6.039577867
271	6.039223469
272	6.03888848
273	6.038548234
274	6.037998561
275	6.037703444
276	6.037181285
277	6.036706368
278	6.036489807
279	6.036222389
280	6.035852163
281	6.035240806
282	6.034845807
283	6.034314919
284	6.033442681
285	6.032770678
286	6.032297028
287	6.031949228
288	6.031315593
289	6.031090485
290	6.030577432
291	6.029760573
292	6.029284111
293	6.028952666
294	6.028318134
295	6.02803597
296	6.027464714
297	6.026911738
298	6.026428544
299	6.026096359
300	6.025226842
301	6.02478276
302	6.024365999
303	6.023846173
304	6.023271568
305	6.023056025
306	6.022944371
307	6.022465149
308	6.022262857
309	6.021933515
310	6.021525525
311	6.020954071
312	6.020513688
313	6.020108754
314	6.019959234
315	6.019794945
316	6.01950529
317	6.019383281
318	6.018903592
319	6.018473365
320	6.018041159
321	6.017297608
322	6.016900745
323	6.016549737
324	6.0158021
325	6.015338181
326	6.015057958
327	6.014574548
328	6.014162167
329	6.013937834
330	6.013736372
331	6.013586176
332	6.012877339
333	6.012518343
334	6.012168909
335	6.011666701
336	6.011176341
337	6.010877217
338	6.010635169
339	6.010171117
340	6.009819164
341	6.00942411
342	6.008990281
343	6.008511255
344	6.007795228
345	6.007348702
346	6.007095871
347	6.006912839
348	6.006508273
349	6.006130658
350	6.005943902
351	6.005512221
352	6.00509899
353	6.004880699
354	6.00463611
355	6.004055325
356	6.003596985
357	6.00330292
358	6.003026789
359	6.002816669
360	6.002309998
361	6.002113001
362	6.001852581
363	6.000886714
364	6.000463142
365	6.000017491
366	5.999626618
367	5.999463225
368	5.999244801
369	5.998797823
370	5.998653055
371	5.998089179
372	5.997725188
373	5.997477501
374	5.997058321
375	5.99663016
376	5.996428588
377	5.996112121
378	5.995894205
379	5.995609783
380	5.995338616
381	5.994765479
382	5.994644917
383	5.994447175
384	5.993774378
385	5.9936705
386	5.993065283
387	5.992722832
388	5.992426313
389	5.992201128
390	5.99175988
391	5.991521466
392	5.990645573
393	5.990171632
394	5.989989646
395	5.988927542
396	5.988534773
397	5.988403112
398	5.988110767
399	5.987846965
400	5.987267488
401	5.987065364
402	5.986729696
403	5.985858024
404	5.985296938
405	5.98470662
406	5.984520706
407	5.984267675
408	5.983843506
409	5.983354064
410	5.982849772
411	5.982257916
412	5.981938536
413	5.981696048
414	5.981036045
415	5.980604056
416	5.980163056
417	5.97976287
418	5.979235303
419	5.979091228
420	5.979013919
421	5.97857104
422	5.978237403
423	5.977516199
424	5.97683687
425	5.97613823
426	5.975808895
427	5.975507392
428	5.975055425
429	5.97440593
430	5.974076541
431	5.973648247
432	5.973217675
433	5.973150977
434	5.973028627
435	5.972735848
436	5.972318628
437	5.972077702
438	5.971871715
439	5.97165767
440	5.971252082
441	5.971088918
442	5.97082102
443	5.970631303
444	5.970514369
445	5.970338419
446	5.969914483
447	5.969457122
448	5.969023819
449	5.968613469
450	5.968297228
451	5.967925937
452	5.967607398
453	5.967435126
454	5.966953796
455	5.966817826
456	5.966654088
457	5.966092307
458	5.965998012
459	5.965580018
460	5.965370782
461	5.964942469
462	5.964899226
463	5.964434532
464	5.964242223
465	5.964116138
466	5.963781677
467	5.963656193
468	5.963531558
469	5.963074431
470	5.96253481
471	5.96212097
472	5.962056439
473	5.961856543
474	5.961752086
475	5.961213393
476	5.960490712
477	5.960179904
478	5.959849695
479	5.959430623
480	5.959265413
481	5.958752708
482	5.958234273
483	5.957692841
484	5.957595817
485	5.957193281
486	5.956797983
487	5.955911803
488	5.955488621
489	5.955052579
490	5.954735642
491	5.954146169
492	5.953338214
493	5.953134957
494	5.952618531
495	5.951941629
496	5.951611834
497	5.951294409
498	5.951193715
499	5.950720081
500	5.950574725
501	5.950326382
502	5.949922276
503	5.949104513
504	5.948904954
505	5.948491768
506	5.947982816
507	5.947282426
508	5.946546712
509	5.946222685
510	5.944985523
511	5.944600311
512	5.944294847
513	5.94400485
514	5.943537367
515	5.943065119
516	5.94279404
517	5.94275952
518	5.942685832
519	5.942426724
520	5.941686372
521	5.941134812
522	5.940913652
523	5.940652561
524	5.940502122
525	5.940295636
526	5.940078236
527	5.93964678
528	5.939062008
529	5.938910314
530	5.938150006
531	5.93794411
532	5.937859725
533	5.937770986
534	5.937469511
535	5.937204213
536	5.936961874
537	5.936666857
538	5.936416576
539	5.936019124
540	5.935743674
541	5.93532097
542	5.935090162
543	5.934728156
544	5.934500712
545	5.93403113
546	5.933745305
547	5.933572714
548	5.933459091
549	5.933279419
550	5.932661263
551	5.932404662
552	5.932188225
553	5.931862345
554	5.931790005
555	5.931327309
556	5.931161406
557	5.931030032
558	5.930806578
559	5.930419239
560	5.930229609
561	5.92994152
562	5.929734318
563	5.929545199
564	5.929208718
565	5.928904651
566	5.928831968
567	5.928310184
568	5.928011815
569	5.927732267
570	5.927612321
571	5.927130301
572	5.926810228
573	5.926440661
574	5.926047121
575	5.925777016
576	5.92564043
577	5.925488729
578	5.925279194
579	5.92485525
580	5.924577893
581	5.924401716
582	5.924180167
583	5.923680221
584	5.92301718
585	5.922802802
586	5.922466424
587	5.922106987
588	5.921520046
589	5.921346866
590	5.920789766
591	5.920699703
592	5.920534365
593	5.920305857
594	5.92014775
595	5.919467256
596	5.91917306
597	5.918645209
598	5.918313199
599	5.918038283
600	5.917943104
601	5.917779815
602	5.917168457
603	5.916874968
604	5.916557318
605	5.916184339
606	5.91556369
607	5.915302539
608	5.915025711
609	5.914874601
610	5.914727004
611	5.91427891
612	5.913873386
613	5.913740238
614	5.913525593
615	5.913089677
616	5.912803645
617	5.912648477
618	5.912316888
619	5.911776964
620	5.911291131
621	5.910810182
622	5.910444389
623	5.91005351
624	5.909669412
625	5.909513708
626	5.909170996
627	5.908897101
628	5.908582475
629	5.908459149
630	5.908184584
631	5.907415806
632	5.907310224
633	5.9069827
634	5.906820335
635	5.906434355
636	5.906178143
637	5.905889447
638	5.905659875
639	5.905604687
640	5.905203877
641	5.905054299
642	5.904672835
643	5.904545808
644	5.904374311
645	5.9038304
646	5.903664355
647	5.903464203
648	5.90310958
649	5.902914243
650	5.902740579
651	5.902372344
652	5.902011319
653	5.901665078
654	5.901361464
655	5.901142767
656	5.900930006
657	5.900662558
658	5.900514592
659	5.900113573
660	5.899795185
661	5.89967521
662	5.899380949
663	5.899012632
664	5.898771681
665	5.898263371
666	5.898057257
667	5.897950505
668	5.8972305
669	5.897094348
670	5.896702731
671	5.896381585
672	5.896275561
673	5.895861321
674	5.895772375
675	5.895108509
676	5.894804332
677	5.894309264
678	5.894185528
679	5.894036036
680	5.893853351
681	5.893415373
682	5.893309033
683	5.893201872
684	5.892820728
685	5.892593143
686	5.892405841
687	5.892050313
688	5.891885603
689	5.891391911
690	5.891157809
691	5.890625984
692	5.890368041
693	5.890118152
694	5.889533536
695	5.889249229
696	5.888947897
697	5.888546763
698	5.888270966
699	5.887924422
700	5.887822002
701	5.887425857
702	5.887193743
703	5.887077734
704	5.886555574
705	5.886396569
706	5.886268895
707	5.885963186
708	5.88552206
709	5.885066852
710	5.884916049
711	5.88479592
712	5.884455702
713	5.884241547
714	5.884013639
715	5.8836792
716	5.883449848
717	5.883064078
718	5.882950661
719	5.882678202
720	5.882427774
721	5.882194757
722	5.881862739
723	5.881634529
724	5.881380971
725	5.88105697
726	5.880452416
727	5.880006673
728	5.879780539
729	5.879711108
730	5.879293271
731	5.878948533
732	5.878561013
733	5.878200854
734	5.877711661
735	5.87725952
736	5.877142006
737	5.877014782
738	5.876909835
739	5.876714574
740	5.876555389
741	5.876365201
742	5.876182439
743	5.875523313
744	5.875123977
745	5.874520176
746	5.874285821
747	5.873793587
748	5.873398288
749	5.873078289
750	5.872718198
751	5.872111106
752	5.871945874
753	5.871472412
754	5.871291586
755	5.870939194
756	5.870695731
757	5.870401797
758	5.870161974
759	5.870072894
760	5.869798189
761	5.869105867
762	5.868887148
763	5.868562515
764	5.868250435
765	5.868160347
766	5.867919816
767	5.867572028
768	5.867394683
769	5.866678643
770	5.866024937
771	5.865847834
772	5.865651393
773	5.865460143
774	5.865064847
775	5.864864386
776	5.864586236
777	5.864274361
778	5.863925082
779	5.863840963
780	5.863439936
781	5.863067365
782	5.862757013
783	5.862247927
784	5.861927196
785	5.86160976
786	5.861240219
787	5.861023345
788	5.860696425
789	5.860283687
790	5.859959816
791	5.85974516
792	5.859397961
793	5.859165549
794	5.858926162
795	5.858883777
796	5.858720099
797	5.858610173
798	5.85842436
799	5.85815268
800	5.857846884
801	5.857569797
802	5.85748872
803	5.857114303
804	5.856889766
805	5.856565017
806	5.856363881
807	5.856104168
808	5.855817807
809	5.855742605
810	5.854727653
811	5.854517672
812	5.854358445
813	5.853963727
814	5.853826797
815	5.853532826
816	5.853208612
817	5.852895249
818	5.852704768
819	5.852504558
820	5.852027891
821	5.851917979
822	5.851624341
823	5.851317007
824	5.850909856
825	5.85075865
826	5.850553867
827	5.850206553
828	5.850100423
829	5.84970933
830	5.84943097
831	5.848948109
832	5.848753087
833	5.848578052
834	5.848138766
835	5.847702052
836	5.847352609
837	5.847062033
838	5.846813992
839	5.846401524
840	5.846132254
841	5.84577807
842	5.845515957
843	5.84505156
844	5.844749908
845	5.844102311
846	5.843892076
847	5.843583169
848	5.843063819
849	5.842853358
850	5.84240884
851	5.842121213
852	5.841481915
853	5.841338058
854	5.841053745
855	5.840626533
856	5.840334284
857	5.840204291
858	5.840064326
859	5.839611975
860	5.839334908
861	5.839034595
862	5.838814109
863	5.838571629
864	5.838426601
865	5.838229369
866	5.838076933
867	5.837321816
868	5.837170747
869	5.836744565
870	5.836366427
871	5.836145674
872	5.836036777
873	5.835888217
874	5.835560792
875	5.835448671
876	5.835337786
877	5.835132197
878	5.834565439
879	5.834234815
880	5.834068003
881	5.833961167
882	5.833885231
883	5.833815745
884	5.833353281
885	5.832899184
886	5.832389284
887	5.832154078
888	5.831889965
889	5.831732086
890	5.831394388
891	5.830844713
892	5.830739265
893	5.830392283
894	5.830201891
895	5.829901382
896	5.829817247
897	5.829606719
898	5.829521198
899	5.829356464
900	5.829297802
901	5.828810949
902	5.828558236
903	5.828274464
904	5.828139847
905	5.827924328
906	5.827862591
907	5.82767325
908	5.827514006
909	5.827370636
910	5.82719382
911	5.827056493
912	5.826926722
913	5.826648668
914	5.826436672
915	5.826014472
916	5.825829105
917	5.825595002
918	5.825139634
919	5.825086473
920	5.824818274
921	5.824623344
922	5.824348065
923	5.824236451
924	5.82411037
925	5.823654737
926	5.823122317
927	5.822747271
928	5.822403232
929	5.822277187
930	5.822093049
931	5.821934266
932	5.821704897
933	5.821407546
934	5.821201407
935	5.821002742
936	5.820785534
937	5.820481151
938	5.820339586
939	5.820249414
940	5.819971475
941	5.819727086
942	5.819655479
943	5.819506971
944	5.819177251
945	5.818994889
946	5.818665771
947	5.818342667
948	5.818118421
949	5.818058042
950	5.817911751
951	5.817672629
952	5.817502979
953	5.817273881
954	5.817067579
955	5.816800719
956	5.81651898
957	5.816381975
958	5.815788564
959	5.815280685
960	5.815101737
961	5.814799258
962	5.814755554
963	5.814555385
964	5.81432545
965	5.813937408
966	5.813576995
967	5.813487161
968	5.813405802
969	5.813045585
970	5.812801301
971	5.812519954
972	5.812303617
973	5.811778589
974	5.811521302
975	5.811345548
976	5.811135208
977	5.810923637
978	5.810720924
979	5.810492392
980	5.809902672
981	5.809573182
982	5.809216632
983	5.808846964
984	5.808681549
985	5.808402846
986	5.808104586
987	5.807954021
988	5.807646401
989	5.80746263
990	5.807226337
991	5.806895966
992	5.806720577
993	5.806414883
994	5.806242924
995	5.806046868
996	5.805520803
997	5.805134287
998	5.805022489
999	5.804666984
