iter	Logloss
0	0.6528463123
1	0.6217874843
2	0.592775701
3	0.5684780883
4	0.5435647263
5	0.5220881247
6	0.5018608308
7	0.4860119628
8	0.4697436634
9	0.4518974685
10	0.4358292101
11	0.4234601583
12	0.4121090656
13	0.4018144235
14	0.3931709728
15	0.3852617408
16	0.3776965107
17	0.3694698798
18	0.3639115413
19	0.3593972145
20	0.3534673847
21	0.3484070328
22	0.3439584244
23	0.3383996279
24	0.3344441319
25	0.3306334752
26	0.3272120994
27	0.3243819258
28	0.3215778374
29	0.318942193
30	0.3163243365
31	0.3146683735
32	0.3128853275
33	0.3103388282
34	0.3091724897
35	0.3073924559
36	0.3061595425
37	0.3045966949
38	0.3028304966
39	0.3018149624
40	0.2998032832
41	0.2985507499
42	0.2974149896
43	0.2963970749
44	0.2950700467
45	0.2943654232
46	0.2936205676
47	0.2924708403
48	0.2914611204
49	0.2911704482
50	0.2903609008
51	0.2897407006
52	0.2890567075
53	0.2885255296
54	0.2880559005
55	0.2872184712
56	0.2868083994
57	0.2861401266
58	0.2856259759
59	0.285087985
60	0.2846391762
61	0.2841738336
62	0.2837631904
63	0.2832502877
64	0.2828237983
65	0.2825605906
66	0.2822388113
67	0.2818300044
68	0.2812921839
69	0.2810486657
70	0.2808825114
71	0.2805113585
72	0.280197602
73	0.2799669777
74	0.2797308956
75	0.2796676633
76	0.2794388505
77	0.2791777415
78	0.2790066884
79	0.2787339855
80	0.2784324944
81	0.2782084278
82	0.2781039756
83	0.2780210489
84	0.2778875451
85	0.2777782752
86	0.2776185531
87	0.2775773439
88	0.2774018895
89	0.2771773639
90	0.277012616
91	0.2768457833
92	0.2768001992
93	0.2765928156
94	0.2763870021
95	0.2762388709
96	0.2760838634
97	0.2759859018
98	0.2758367173
99	0.2756406572
100	0.2755424973
101	0.2753357365
102	0.2752374777
103	0.2751298713
104	0.275027624
105	0.274842404
106	0.2747874193
107	0.2746336086
108	0.274453703
109	0.274348782
110	0.2742674696
111	0.2742304829
112	0.2741199386
113	0.2740583552
114	0.2740439981
115	0.2739934749
116	0.2739609088
117	0.2738172906
118	0.2737883788
119	0.2736934097
120	0.2736441756
121	0.2735196446
122	0.2733538802
123	0.2733141639
124	0.2733078711
125	0.2731707476
126	0.2731156412
127	0.2730937505
128	0.2729225571
129	0.272830191
130	0.2727490952
131	0.2726918299
132	0.2726399597
133	0.2725858749
134	0.2725040127
135	0.2724556745
136	0.2723230967
137	0.2721868109
138	0.2721596396
139	0.2719674296
140	0.2719311587
141	0.2718888542
142	0.2716822571
143	0.2716288214
144	0.2715674805
145	0.2713796225
146	0.2712542938
147	0.2711507823
148	0.2710992968
149	0.2710350678
150	0.2710063405
151	0.2709060342
152	0.270872432
153	0.2708216832
154	0.2707648489
155	0.2707445704
156	0.2707298593
157	0.2706692715
158	0.2706233163
159	0.2705550458
160	0.2705317852
161	0.2704441828
162	0.2704030704
163	0.2703818241
164	0.27037886
165	0.2701961119
166	0.2701232107
167	0.2700791426
168	0.2700372989
169	0.2699843925
170	0.2699415719
171	0.2698640872
172	0.2697401732
173	0.2696833157
174	0.2696481556
175	0.2695291275
176	0.2694426471
177	0.2693955769
178	0.2693683127
179	0.2692273542
180	0.2692168106
181	0.2691908532
182	0.2691482345
183	0.2691266041
184	0.2691030923
185	0.2690471822
186	0.2690135395
187	0.2689611047
188	0.2688880252
189	0.2688337795
190	0.2687751557
191	0.2687052633
192	0.2686700971
193	0.2686098597
194	0.2686020875
195	0.2685219797
196	0.2684807697
197	0.2684774466
198	0.2683988623
199	0.2683632181
200	0.2683048649
201	0.2682962548
202	0.2682450723
203	0.2682331897
204	0.2681761582
205	0.2680804506
206	0.2680493412
207	0.2680471139
208	0.2680159638
209	0.2679816162
210	0.267932325
211	0.2679138001
212	0.2678391171
213	0.2678077824
214	0.2677276111
215	0.2676992834
216	0.2676943369
217	0.2676080961
218	0.2675875581
219	0.267528492
220	0.2674699306
221	0.267399373
222	0.2673667638
223	0.2673463298
224	0.2673316031
225	0.2673302307
226	0.2673253423
227	0.2672937748
228	0.2672236153
229	0.2671486216
230	0.2670990487
231	0.2670714873
232	0.2670564998
233	0.2669878995
234	0.2668957726
235	0.2668741453
236	0.2668696839
237	0.2668511569
238	0.2668495161
239	0.2668362259
240	0.2668128682
241	0.2667877338
242	0.2667665659
243	0.266762125
244	0.2666735929
245	0.2666467549
246	0.2666339075
247	0.2666150489
248	0.2665900242
249	0.2665567408
250	0.266538712
251	0.2665228063
252	0.2664903819
253	0.266428508
254	0.2664225836
255	0.2664155255
256	0.2663795544
257	0.2663066178
258	0.2663051823
259	0.2662702063
260	0.2662434688
261	0.266194821
262	0.2661917325
263	0.2661638157
264	0.2661614251
265	0.266149376
266	0.2660210756
267	0.2660058669
268	0.2659736024
269	0.2659266409
270	0.2659106863
271	0.2658964105
272	0.2658817629
273	0.2658157468
274	0.2658155039
275	0.26579698
276	0.2657710855
277	0.2657039176
278	0.2656609422
279	0.2656324793
280	0.2656154346
281	0.2655700519
282	0.2655504926
283	0.2655438678
284	0.2655212415
285	0.265504166
286	0.2654361266
287	0.2654359779
288	0.2654322223
289	0.2654000189
290	0.2653879401
291	0.2653644633
292	0.265352305
293	0.2652766647
294	0.2652331431
295	0.2652115022
296	0.2651893574
297	0.2651808484
298	0.2651759299
299	0.2651553157
300	0.2650928343
301	0.2650801764
302	0.2650767575
303	0.2650508586
304	0.2650507128
305	0.2650379079
306	0.2649993589
307	0.2649854755
308	0.2649752802
309	0.2649752524
310	0.2649695416
311	0.2649428485
312	0.2649400415
313	0.2649295882
314	0.2648959129
315	0.2648930429
316	0.2647990567
317	0.2647729815
318	0.2647614009
319	0.2647612484
320	0.2647611439
321	0.2647126427
322	0.2646939603
323	0.2646617766
324	0.2646303669
325	0.264596386
326	0.2645949075
327	0.2645829295
328	0.2645264291
329	0.264493425
330	0.2644726822
331	0.2644667525
332	0.2644627152
333	0.2644287122
334	0.2643971949
335	0.2643970288
336	0.2643754337
337	0.2643750722
338	0.2643713542
339	0.2642736232
340	0.2641838661
341	0.2641835559
342	0.2641586903
343	0.2641188662
344	0.2641150293
345	0.264115008
346	0.2641149941
347	0.2641147489
348	0.2640899083
349	0.2640897839
350	0.264076198
351	0.2640727858
352	0.2640451158
353	0.264031907
354	0.2640101433
355	0.2639592867
356	0.2639456863
357	0.2639087058
358	0.2638861667
359	0.263824768
360	0.2637563417
361	0.2637563368
362	0.2637316212
363	0.2636815799
364	0.2635981719
365	0.2635842371
366	0.2635837183
367	0.2635389748
368	0.2635388563
369	0.2635283634
370	0.2634915236
371	0.2634417731
372	0.2634128105
373	0.2634117727
374	0.2633767987
375	0.2633742522
376	0.263272329
377	0.2632534922
378	0.2632477464
379	0.2631954484
380	0.2631220897
381	0.2630994107
382	0.2630701217
383	0.26306103
384	0.2630111175
385	0.2629795664
386	0.2629792478
387	0.2629789264
388	0.2629757633
389	0.26293979
390	0.2629308782
391	0.2629249147
392	0.2629160634
393	0.2628988793
394	0.2628653179
395	0.2628361552
396	0.2628361322
397	0.2627963754
398	0.2627948163
399	0.2627739456
400	0.2627162518
401	0.2626555404
402	0.2626427638
403	0.2626133711
404	0.2626126966
405	0.2626085662
406	0.262563777
407	0.2624849241
408	0.2624287721
409	0.26237987
410	0.2623337456
411	0.2623213957
412	0.2622725515
413	0.2622195962
414	0.2622089469
415	0.2621847079
416	0.2621129706
417	0.2620822085
418	0.262042462
419	0.2619982032
420	0.261990074
421	0.2619528568
422	0.2619491241
423	0.2619472879
424	0.2619403921
425	0.2619225453
426	0.2619161374
427	0.261915402
428	0.2618613427
429	0.2618611533
430	0.2618246535
431	0.261796734
432	0.2617875735
433	0.2617865188
434	0.2617844669
435	0.2617816105
436	0.2617666465
437	0.2617119713
438	0.2617004573
439	0.2617003944
440	0.2616926776
441	0.2616720353
442	0.2616697757
443	0.2616669601
444	0.2616653099
445	0.2616553599
446	0.2616056087
447	0.2616055458
448	0.2616020783
449	0.2615834572
450	0.2615712916
451	0.2615552438
452	0.2615201669
453	0.2614926394
454	0.2614395549
455	0.2614149479
456	0.2613618637
457	0.261333804
458	0.2613070821
459	0.2613033943
460	0.2613022518
461	0.261260186
462	0.261225477
463	0.2612249536
464	0.2612249364
465	0.2612239993
466	0.2611722634
467	0.2611679781
468	0.2611679431
469	0.2611474063
470	0.2611346716
471	0.2611065475
472	0.2610607604
473	0.2610568283
474	0.2610371512
475	0.2610000603
476	0.2610000466
477	0.2609817026
478	0.2609743001
479	0.2609738873
480	0.2609317629
481	0.2609039635
482	0.2608849595
483	0.2608783236
484	0.2608357191
485	0.2608035899
486	0.2607892382
487	0.2607339395
488	0.2607338392
489	0.2607208722
490	0.2607073603
491	0.2606989717
492	0.2606737
493	0.2606524492
494	0.2606516019
495	0.2606282021
496	0.2606269546
497	0.2605882153
498	0.2605872456
499	0.2605189434
500	0.2605045234
501	0.2604836644
502	0.2604694549
503	0.2604634999
504	0.2604381602
505	0.260418292
506	0.2603970934
507	0.2603940828
508	0.2603940793
509	0.2603909742
510	0.2603591168
511	0.2603428988
512	0.260342845
513	0.2603261152
514	0.2603231061
515	0.2602871454
516	0.2602617556
517	0.2602324485
518	0.2601758035
519	0.260174782
520	0.2601340997
521	0.2601161128
522	0.2601097788
523	0.2601083533
524	0.2600409146
525	0.2600381717
526	0.2600345586
527	0.2599963188
528	0.2599701186
529	0.2599182922
530	0.259918279
531	0.2598830185
532	0.2598708933
533	0.2598619973
534	0.2598495602
535	0.2598319926
536	0.259829936
537	0.2598157532
538	0.2598151272
539	0.2598109524
540	0.2598108415
541	0.259810728
542	0.2598106707
543	0.2598084122
544	0.2598071472
545	0.2597899731
546	0.259783157
547	0.2597831563
548	0.2597815717
549	0.2597617811
550	0.2597586986
551	0.2597580096
552	0.2597566309
553	0.2597469021
554	0.2597059954
555	0.259704053
556	0.259703298
557	0.2597018932
558	0.2597006669
559	0.2596851308
560	0.2596849705
561	0.2596703124
562	0.2596686655
563	0.2596346804
564	0.2596346541
565	0.2596330577
566	0.2595993862
567	0.2595808786
568	0.2595289276
569	0.2595286281
570	0.2595183841
571	0.25950964
572	0.259504179
573	0.2595004199
574	0.2594990907
575	0.2594942959
576	0.2594939765
577	0.2594932239
578	0.2594399101
579	0.2594385786
580	0.2593766039
581	0.2593758146
582	0.2593755974
583	0.259314762
584	0.2593015223
585	0.2593011409
586	0.2592798034
587	0.2592564843
588	0.2592553796
589	0.2592509917
590	0.259248173
591	0.2592332525
592	0.2592262624
593	0.2592142763
594	0.2592021491
595	0.2591748309
596	0.259173338
597	0.2591621399
598	0.2591619796
599	0.2591603681
600	0.2591600809
601	0.2591547442
602	0.2591507816
603	0.2591478463
604	0.2591478443
605	0.2591023199
606	0.2590957145
607	0.2590839847
608	0.2590710003
609	0.2590708863
610	0.2590593221
611	0.259057503
612	0.2590532903
613	0.2590309225
614	0.2590227142
615	0.2590226743
616	0.2590018243
617	0.2590003454
618	0.2589990733
619	0.2589988569
620	0.2589759725
621	0.2589527916
622	0.2589513747
623	0.258909308
624	0.2589053472
625	0.2588775819
626	0.2588689684
627	0.2588591893
628	0.2588577073
629	0.2588524139
630	0.2588522485
631	0.258852225
632	0.2588518168
633	0.2588391604
634	0.2588391425
635	0.2588104164
636	0.2587883224
637	0.2587238701
638	0.258722079
639	0.2587219708
640	0.2587217564
641	0.2587216477
642	0.2587192204
643	0.2587145378
644	0.2587114532
645	0.2586986596
646	0.25869242
647	0.258691155
648	0.2586911478
649	0.258690397
650	0.2586833158
651	0.2586643103
652	0.2586626278
653	0.2586613767
654	0.2586612998
655	0.2586372579
656	0.2586102803
657	0.2586102591
658	0.2586083151
659	0.258577471
660	0.2585651465
661	0.258564924
662	0.2585648528
663	0.2585639897
664	0.258563344
665	0.2585529255
666	0.2585003994
667	0.258498698
668	0.2584859927
669	0.2584849995
670	0.2584080022
671	0.2584024785
672	0.2583894241
673	0.2583592714
674	0.2583578653
675	0.2583554556
676	0.2583554294
677	0.25835542
678	0.2583516139
679	0.2583129455
680	0.2583128948
681	0.2582948607
682	0.2582886438
683	0.2582851331
684	0.2582837623
685	0.258270556
686	0.2582695711
687	0.2582695651
688	0.2582694963
689	0.258263589
690	0.2582634982
691	0.2582598589
692	0.258254168
693	0.2582515523
694	0.2582515272
695	0.2582379396
696	0.2582201284
697	0.2582167022
698	0.2581789324
699	0.2581545659
700	0.2581525542
701	0.2581524694
702	0.2581523654
703	0.2581389492
704	0.2580889082
705	0.2580732058
706	0.2580718928
707	0.2580688096
708	0.258068324
709	0.2580658737
710	0.2580656361
711	0.258065237
712	0.2580535534
713	0.2580535294
714	0.2580512542
715	0.2580327311
716	0.2580279847
717	0.2580275496
718	0.2580167867
719	0.2580155365
720	0.2580081938
